Date,Open,High,Low,Close,Adj Close,Volume
03-01-2006,10.34000015,10.6785717,10.3214283,10.6785717,9.269434929,201808600
04-01-2006,10.73285675,10.85428524,10.64285755,10.71000004,9.296718597,154900900
05-01-2006,10.68999958,10.69999981,10.53571415,10.6257143,9.223554611,112355600
06-01-2006,10.75,10.95714283,10.64999962,10.89999962,9.46164608,176114400
09-01-2006,10.96142864,11.02857113,10.81999969,10.86428547,9.430640221,168760200
10-01-2006,10.89285755,11.69857121,10.83285713,11.55142879,10.02711201,569967300
11-01-2006,11.97714329,12.11428547,11.79857159,11.98571396,10.40408993,373448600
12-01-2006,12.13857174,12.34285736,11.945714,12.04142857,10.45245171,320202400
13-01-2006,12.14142895,12.28714275,12.08571434,12.22714329,10.61365986,194076400
17-01-2006,12.24285698,12.34000015,11.98142815,12.10142899,10.50453472,208905900
18-01-2006,11.86857128,12.00714302,11.69285679,11.78428555,10.22924042,300159300
19-01-2006,11.60714245,11.66571426,11.2485714,11.29142857,9.801419258,423962000
20-01-2006,11.32571411,11.43428612,10.83285713,10.86999989,9.435602188,283689700
23-01-2006,10.87142849,11.36571407,10.85714245,11.09571457,9.631533623,264932500
24-01-2006,11.2514286,11.34571457,10.82428551,10.86285686,9.429404259,285563600
25-01-2006,11.05571461,11.0714283,10.46428585,10.60000038,9.201231956,318946600
26-01-2006,10.64714241,10.77571392,10.27571392,10.33285713,8.969343185,295346800
27-01-2006,10.42142868,10.51428604,10.15714264,10.28999996,8.932141304,238466200
30-01-2006,10.16714287,10.94285679,10.1242857,10.71428585,9.300440788,349600300
31-01-2006,10.78571415,10.90571404,10.53571415,10.78714275,9.363681793,228385500
01-02-2006,10.70714283,10.92285728,10.66285706,10.77428532,9.352519989,130296600
02-02-2006,10.72857189,10.76571465,10.29285717,10.30000019,8.94081974,176830500
03-02-2006,10.31999969,10.39857101,10.14857101,10.26428604,8.909817696,173030900
06-02-2006,10.28857136,10.35857105,9.534285545,9.614285469,8.345591545,412941900
07-02-2006,9.752857208,9.925714493,9.525713921,9.657142639,8.382792473,347207700
08-02-2006,9.784285545,9.868571281,9.428571701,9.829999924,8.532842636,238278600
09-02-2006,9.87142849,9.890000343,9.218571663,9.278571129,8.054180145,287441000
10-02-2006,9.311429024,9.667142868,8.985713959,9.615714073,8.346832275,440119400
13-02-2006,9.518571854,9.535714149,9.234285355,9.244285583,8.02441597,220874500
14-02-2006,9.300000191,9.728571892,9.285714149,9.662857056,8.387756348,290234700
15-02-2006,9.594285965,9.945713997,9.535714149,9.888571739,8.583683014,289942800
16-02-2006,9.987142563,10.14428616,9.925714493,10.08142853,8.751089096,237043800
17-02-2006,10.04285717,10.12714291,9.944285393,10.04142857,8.716368675,143999800
21-02-2006,10.08428574,10.11428547,9.811429024,9.868571281,8.566321373,194901700
22-02-2006,9.857142448,10.23857117,9.714285851,10.18857098,8.844097137,244559700
23-02-2006,10.25571442,10.4285717,10.20428562,10.25,8.897418976,214229400
24-02-2006,10.30571461,10.41285706,10.17142868,10.20857143,8.861457825,133686000
27-02-2006,10.28428555,10.3028574,10.09285736,10.14142895,8.803173065,197810200
28-02-2006,10.22571468,10.34285736,9.728571892,9.784285545,8.493161201,316745100
01-03-2006,9.834285736,9.927143097,9.717143059,9.87142849,8.568803787,190954400
02-03-2006,9.855713844,9.998571396,9.81000042,9.944285393,8.632045746,156318400
03-03-2006,9.91428566,9.987142563,9.64714241,9.674285889,8.397673607,184417100
06-03-2006,9.670000076,9.674285889,9.277142525,9.35428524,8.119903564,228166400
07-03-2006,9.394286156,9.557143211,9.297142982,9.472857475,8.222826958,218219400
08-03-2006,9.470000267,9.600000381,9.33571434,9.380000114,8.142220497,163312800
09-03-2006,9.425714493,9.495714188,9.115714073,9.132857323,7.927692413,199826200
10-03-2006,9.149999619,9.212857246,8.92142868,9.027142525,7.835929394,260785700
13-03-2006,9.29285717,9.468571663,9.255714417,9.382857323,8.144703865,215296900
14-03-2006,9.39571476,9.617142677,9.357142448,9.617142677,8.348073959,160505100
15-03-2006,9.672857285,9.720000267,9.359999657,9.461428642,8.212905884,222999000
16-03-2006,9.550000191,9.557143211,9.185714722,9.187143326,7.974813938,187409600
17-03-2006,9.25,9.362856865,9.158571243,9.237142563,8.018217087,203010500
20-03-2006,9.317142487,9.351428986,9.124285698,9.141428947,7.935129642,151360300
21-03-2006,8.829999924,9.191428185,8.770000458,8.829999924,7.66479826,336341600
22-03-2006,8.880000114,9.035714149,8.752857208,8.81000042,7.647442341,336473900
23-03-2006,8.831428528,8.842857361,8.515714645,8.594285965,7.46019125,356956600
24-03-2006,8.607142448,8.705714226,8.432857513,8.565713882,7.435387611,267995000
27-03-2006,8.62142849,8.768571854,8.485713959,8.501428604,7.379586697,277018000
28-03-2006,8.518571854,8.591428757,8.321428299,8.387143135,7.280383587,342580700
29-03-2006,8.447142601,8.931428909,8.238571167,8.904285431,7.729284763,586708500
30-03-2006,8.974286079,9.04285717,8.789999962,8.964285851,7.781367779,347662700
31-03-2006,9.035714149,9.087142944,8.891428947,8.960000038,7.777645111,203839300
03-04-2006,9.095714569,9.159999847,8.944285393,8.949999809,7.768962383,203947800
04-04-2006,8.87142849,8.888571739,8.721428871,8.738571167,7.585436821,232981000
05-04-2006,9.244285583,9.601428986,9.16428566,9.601428986,8.334432602,558352200
06-04-2006,9.757143021,10.29285717,9.742856979,10.1771431,8.834174156,665942200
07-04-2006,10.13285732,10.17285728,9.781428337,9.970000267,8.654366493,386309700
10-04-2006,10.04142857,10.13285732,9.778571129,9.81000042,8.515480995,225878800
11-04-2006,9.855713844,9.899999619,9.581428528,9.712857246,8.431155205,234829000
12-04-2006,9.715714455,9.738571167,9.471428871,9.529999733,8.272429466,184973600
13-04-2006,9.477143288,9.634285927,9.401428223,9.495714188,8.242667198,183669500
17-04-2006,9.501428604,9.548571587,9.192856789,9.258571625,8.036820412,180484500
18-04-2006,9.291428566,9.495714188,9.255714417,9.460000038,8.2116642,198711100
19-04-2006,9.545714378,9.571428299,9.35285759,9.37857151,8.140985489,271508300
20-04-2006,9.930000305,10,9.45714283,9.661428452,8.38651371,416745700
21-04-2006,9.741428375,9.805714607,9.495714188,9.577142715,8.313351631,197246700
24-04-2006,9.550000191,9.56000042,9.357142448,9.392857552,8.153384209,176757000
25-04-2006,9.422857285,9.512857437,9.365714073,9.452857018,8.205463409,132265700
26-04-2006,9.521428108,9.754285812,9.485713959,9.735713959,8.450998306,177721600
27-04-2006,9.675714493,9.979999542,9.62142849,9.908571243,8.601043701,211486800
28-04-2006,9.911428452,10.18571472,9.885714531,10.05571461,8.728772163,190009400
01-05-2006,10.10999966,10.22000027,9.880000114,9.942856789,8.630806923,187595100
02-05-2006,10.02142811,10.28285694,10.01571465,10.23142815,8.88129425,192915800
03-05-2006,10.26142883,10.27857113,10.02571392,10.16285706,8.821774483,171747800
04-05-2006,10.17428589,10.41285706,10.06571388,10.16142845,8.820533752,215105100
05-05-2006,10.26571465,10.3214283,10.16428566,10.27000046,8.914780617,140977900
08-05-2006,10.4271431,10.54285717,10.24571419,10.27000046,8.914780617,148712900
09-05-2006,10.26000023,10.36571407,10.08857155,10.14714241,8.808132172,132916700
10-05-2006,10.18428612,10.18999958,9.944285393,10.08571434,8.754811287,114972200
11-05-2006,10.11285686,10.11999989,9.649999619,9.735713959,8.450998306,203172200
12-05-2006,9.692856789,9.812856674,9.551428795,9.67142868,8.395196915,160443500
15-05-2006,9.624285698,9.768571854,9.588571548,9.684286118,8.406356812,132294400
16-05-2006,9.728571892,9.75,9.25,9.282856941,8.057896614,234185000
